I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-39, -82, -43, 61, 2, -63, 48, 24, 43, 48, -107, 19, 
-24, -78, -53, 51, 14, -65, 39, 14, 39, 29, -112, 29, 
-19, -78, -58, 48, 19, -68, 29, 14, 39, 19, -112, 29, 
-19, -78, -58, 48, 19, -68, 24, 14, 39, 14, -117, 29, 
-19, -78, -58, 48, 19, -68, 19, 14, 39, 9, -122, 29, 
-14, -68, -53, 41, 19, -61, 29, 24, 48, 19, -112, 43, 
-4, -58, -53, 31, 24, -56, 24, 29, 53, 19, -112, 48, 
-4, -48, -43, 26, 19, -46, 24, 29, 53, 19, -112, 48, 
0, -43, -43, 21, 21, -43, 24, 29, 53, 24, -102, 48, 
9, -43, -53, 17, 31, -48, 39, 39, 53, 24, -107, 48, 
14, -43, -58, 14, 36, -51, 39, 43, 53, 24, -112, 53, 
14, -39, -53, 12, 34, -46, 43, 53, 68, 24, -112, 58, 
14, -29, -43, 7, 29, -36, 53, 58, 73, 24, -117, 58, 
4, -39, -43, 17, 24, -41, 58, 58, 73, 34, -102, 68, 
4, -39, -43, 17, 24, -41, 58, 53, 68, 39, -97, 68, 
4, -39, -43, 17, 24, -41, 58, 53, 63, 43, -97, 63, 
4, -34, -39, 14, 21, -36, 53, 53, 63, 48, -92, 63, 
4, -43, -48, 19, 26, -46, 63, 53, 73, 53, -102, 53, 
4, -48, -53, 21, 29, -51, 63, 53, 73, 53, -107, 53, 
4, -48, -53, 21, 29, -51, 63, 58, 73, 53, -112, 53, 
9, -48, -58, 19, 34, -53, 63, 58, 73, 53, -117, 58, 
0, -48, -48, 24, 24, -48, 68, 58, 68, 43, -117, 53, 
0, -48, -48, 24, 24, -48, 68, 58, 68, 34, -117, 53, 
0, -43, -43, 21, 21, -43, 63, 58, 68, 34, -122, 43, 
0, -43, -43, 21, 21, -43, 63, 58, 68, 39, -122, 43, 
4, -43, -48, 19, 26, -46, 53, 48, 58, 24, -136, 39, 
4, -43, -48, 19, 26, -46, 53, 48, 63, 19, -141, 34, 
9, -43, -53, 17, 31, -48, 53, 48, 63, 9, -146, 29, 
9, -43, -53, 17, 31, -48, 53, 48, 63, 4, -146, 24, 
9, -43, -53, 17, 31, -48, 63, 53, 63, 9, -136, 34, 
9, -43, -53, 17, 31, -48, 63, 53, 63, 14, -141, 34, 
9, -43, -53, 17, 31, -48, 63, 53, 63, 19, -141, 24, 
9, -43, -53, 17, 31, -48, 63, 53, 58, 24, -141, 24, 
9, -53, -63, 21, 36, -58, 73, 53, 58, 24, -146, 34, 
9, -53, -63, 21, 36, -58, 73, 53, 63, 24, -151, 39, 
9, -53, -63, 21, 36, -58, 73, 53, 63, 24, -161, 39, 
9, -53, -63, 21, 36, -58, 73, 53, 63, 24, -165, 39, 
9, -43, -53, 17, 31, -48, 78, 53, 63, 24, -175, 39, 
9, -43, -53, 17, 31, -48, 78, 53, 68, 24, -175, 39, 
9, -39, -48, 14, 29, -43, 78, 53, 68, 19, -175, 39, 
4, -39, -43, 17, 24, -41, 78, 58, 68, 19, -175, 39, 
4, -29, -34, 12, 19, -31, 78, 58, 68, 14, -165, 39, 
4, -29, -34, 12, 19, -31, 78, 58, 68, 4, -170, 34, 
4, -29, -34, 12, 19, -31, 73, 58, 68, 0, -170, 34, 
9, -29, -39, 9, 24, -34, 73, 58, 68, -4, -170, 39, 
0, -34, -34, 17, 17, -34, 78, 68, 68, 9, -175, 39, 
0, -39, -39, 19, 19, -39, 78, 68, 68, 14, -175, 39, 
0, -48, -48, 24, 24, -48, 82, 68, 73, 19, -175, 39, 
0, -53, -53, 26, 26, -53, 82, 68, 73, 24, -175, 39, 
0, -53, -53, 26, 26, -53, 82, 68, 73, 24, -175, 34, 
0, -53, -53, 26, 26, -53, 82, 68, 73, 24, -175, 29, 
0, -53, -53, 26, 26, -53, 82, 68, 68, 24, -175, 24, 
0, -53, -53, 26, 26, -53, 82, 68, 68, 24, -175, 19, 
14, -53, -68, 19, 41, -61, 73, 53, 58, 14, -195, 19, 
14, -43, -58, 14, 36, -51, 73, 53, 68, 14, -175, 19, 
14, -43, -58, 14, 36, -51, 82, 63, 73, 4, -185, 19, 
4, -43, -48, 19, 26, -46, 78, 73, 87, 9, -195, 9, 
9, -43, -53, 17, 31, -48, 82, 97, 97, 4, -185, 9, 
14, -19, -34, 2, 24, -26, 87, 131, 112, -4, -165, 19, 
24, -9, -34, -7, 29, -21, 112, 200, 146, 9, -141, 29, 
34, -9, -43, -12, 39, -26, 141, 307, 224, 39, -126, 39, 
53, -9, -63, -21, 58, -36, 185, 463, 322, 63, -112, 58, 
68, 4, -63, -36, 65, -29, 234, 624, 439, 92, -107, 68, 
82, 19, -63, -51, 73, -21, 258, 712, 497, 122, -117, 68, 
102, 34, -68, -68, 85, -17, 268, 702, 512, 126, -126, 73, 
102, 24, -78, -63, 90, -26, 307, 619, 497, 107, -136, 63, 
82, 19, -63, -51, 73, -21, 341, 483, 434, 63, -151, 48, 
58, 14, -43, -36, 51, -14, 341, 190, 292, 34, -156, 48, 
29, -14, -43, -7, 36, -29, 331, -239, 73, 14, -156, 58, 
-9, -48, -39, 29, 14, -43, 322, -634, -107, 14, -165, 53, 
-29, -82, -53, 56, 12, -68, 283, -966, -307, -4, -209, 39, 
-48, -122, -73, 85, 12, -97, 170, -1312, -546, -39, -244, 0, 
-63, -141, -78, 102, 7, -109, 78, -1625, -756, -58, -258, -29, 
-87, -146, -58, 117, -14, -102, 63, -1883, -917, -78, -253, -29, 
-117, -146, -29, 131, -43, -87, 63, -2113, -1093, -112, -268, -34, 
-136, -151, -14, 143, -61, -82, -14, -2361, -1312, -141, -292, -53, 
-165, -146, 19, 156, -92, -63, -151, -2610, -1546, -151, -302, -43, 
-195, -151, 43, 173, -119, -53, -307, -2884, -1781, -175, -297, -29, 
-204, -141, 63, 173, -134, -39, -497, -3103, -1991, -185, -297, -39, 
-185, -107, 78, 146, -131, -14, -697, -3245, -2142, -185, -292, -19, 
-151, -39, 112, 95, -131, 36, -941, -3381, -2293, -146, -253, 39, 
-102, 43, 146, 29, -124, 95, -1239, -3533, -2464, -126, -209, 87, 
-19, 117, 136, -48, -78, 126, -1546, -3660, -2635, -136, -185, 112, 
63, 170, 107, -117, -21, 139, -1766, -3684, -2723, -146, -156, 151, 
136, 214, 78, -175, 29, 146, -1844, -3572, -2698, -136, -122, 185, 
204, 263, 58, -234, 73, 161, -1844, -3406, -2610, -126, -97, 224, 
278, 336, 58, -307, 109, 197, -1830, -3220, -2513, -87, -58, 273, 
346, 405, 58, -375, 143, 231, -1800, -3040, -2405, -43, -19, 331, 
409, 488, 78, -448, 165, 283, -1737, -2874, -2293, -9, 19, 375, 
468, 561, 92, -514, 187, 326, -1688, -2713, -2186, 43, 78, 429, 
507, 624, 117, -566, 195, 370, -1664, -2562, -2088, 102, 146, 507, 
512, 658, 146, -585, 183, 402, -1625, -2474, -2030, 117, 165, 561, 
488, 658, 170, -573, 158, 414, -1566, -2396, -1995, 87, 156, 556, 
453, 624, 170, -539, 141, 397, -1527, -2313, -1966, 48, 136, 566, 
414, 605, 190, -509, 112, 397, -1478, -2215, -1903, 39, 146, 575, 
326, 580, 253, -453, 36, 417, -1381, -2064, -1786, 73, 165, 595, 
229, 556, 326, -392, -48, 441, -1249, -1873, -1620, 112, 190, 605, 
146, 541, 395, -344, -124, 468, -1112, -1683, -1454, 161, 219, 624, 
87, 546, 458, -317, -185, 502, -980, -1517, -1288, 200, 234, 624, 
58, 517, 458, -287, -200, 488, -878, -1346, -1127, 209, 209, 605, 
34, 488, 453, -261, -209, 470, -790, -1185, -990, 195, 156, 551, 
4, 458, 453, -231, -224, 456, -683, -1034, -873, 165, 107, 488, 
-19, 414, 434, -197, -226, 424, -590, -907, -751, 141, 58, 444, 
-39, 366, 405, -163, -222, 385, -502, -800, -658, 117, 14, 405, 
-48, 322, 370, -136, -209, 346, -419, -668, -556, 92, -19, 356, 
-48, 287, 336, -119, -192, 312, -361, -566, -473, 68, -43, 312, 
-39, 263, 302, -112, -170, 283, -307, -483, -414, 63, -43, 292, 
-48, 239, 287, -95, -168, 263, -244, -395, -341, 63, -43, 273, 
-78, 200, 278, -61, -178, 239, -170, -307, -244, 48, -73, 244, 
-73, 170, 244, -48, -158, 207, -126, -239, -190, 43, -97, 219, 
-53, 141, 195, -43, -124, 168, -87, -190, -146, 63, -102, 204, 
-48, 107, 156, -29, -102, 131, -48, -126, -82, 78, -117, 175, 
-48, 73, 122, -12, -85, 97, -9, -58, -19, 73, -131, 126, 
-48, 48, 97, 0, -73, 73, 29, -4, 29, 48, -161, 92, 
-24, 24, 48, 0, -36, 36, 63, 53, 78, 39, -200, 73, 
-19, -4, 14, 12, -17, 4, 97, 97, 122, 24, -209, 43, 
-24, -34, -9, 29, -7, -21, 112, 141, 146, 0, -214, 19, 
-19, -58, -39, 39, 9, -48, 122, 175, 170, -19, -234, -9, 
-9, -78, -68, 43, 29, -73, 126, 190, 180, -14, -248, -24, 
-14, -92, -78, 53, 31, -85, 126, 204, 190, -4, -239, -19, 
-14, -92, -78, 53, 31, -85, 136, 219, 200, -4, -234, -14, 
-14, -92, -78, 53, 31, -85, 136, 239, 204, -9, -229, -9, 
-14, -92, -78, 53, 31, -85, 136, 253, 204, -9, -219, -4, 
-14, -97, -82, 56, 34, -90, 151, 283, 209, -19, -219, -4, 
-14, -102, -87, 58, 36, -95, 151, 297, 219, -19, -229, -4, 
-14, -102, -87, 58, 36, -95, 151, 312, 219, -29, -229, -4, 
-14, -102, -87, 58, 36, -95, 156, 326, 219, -29, -229, -9, 
-34, -97, -63, 65, 14, -80, 156, 341, 219, -14, -229, -4, 
-34, -102, -68, 68, 17, -85, 161, 361, 219, -14, -229, -4, 
-43, -107, -63, 75, 9, -85, 161, 380, 219, -19, -224, -9, 
-43, -107, -63, 75, 9, -85, 161, 395, 219, -19, -224, -9, 
-34, -107, -73, 70, 19, -90, 161, 414, 229, -29, -244, -9, 
-34, -112, -78, 73, 21, -95, 161, 434, 229, -29, -244, -14, 
-34, -112, -78, 73, 21, -95, 161, 448, 229, -34, -244, -14, 
-34, -112, -78, 73, 21, -95, 161, 468, 229, -34, -248, -14, 
-43, -112, -68, 78, 12, -90, 161, 502, 229, -34, -258, -24, 
-39, -112, -73, 75, 17, -92, 161, 522, 229, -34, -258, -24, 
-39, -112, -73, 75, 17, -92, 161, 541, 229, -34, -258, -24, 
-39, -112, -73, 75, 17, -92, 165, 561, 239, -34, -258, -19, 
-39, -107, -68, 73, 14, -87, 165, 590, 248, -29, -258, -24, 
-39, -107, -68, 73, 14, -87, 161, 614, 248, -29, -258, -29, 
-43, -107, -63, 75, 9, -85, 161, 639, 248, -24, -258, -34, 
-43, -107, -63, 75, 9, -85, 156, 663, 248, -24, -253, -43, 
-43, -107, -63, 75, 9, -85, 156, 697, 258, -14, -244, -39, 
-43, -112, -68, 78, 12, -90, 156, 722, 258, -19, -234, -34, 
-53, -117, -63, 85, 4, -90, 161, 751, 263, -19, -219, -24, 
-53, -122, -68, 87, 7, -95, 161, 775, 268, -14, -204, -19, 
-53, -117, -63, 85, 4, -90, 161, 810, 278, -24, -209, -19, 
-53, -122, -68, 87, 7, -95, 161, 829, 278, -24, -219, -24, 
-53, -122, -68, 87, 7, -95, 156, 854, 283, -24, -224, -24, 
-48, -117, -68, 82, 9, -92, 156, 873, 283, -24, -229, -29, 
-39, -117, -78, 78, 19, -97, 146, 888, 283, -24, -224, -34, 
-39, -117, -78, 78, 19, -97, 146, 907, 283, -24, -229, -39, 
-34, -117, -82, 75, 24, -100, 146, 927, 283, -24, -229, -39, 
-34, -112, -78, 73, 21, -95, 146, 941, 287, -24, -229, -43, 
-19, -122, -102, 70, 41, -112, 156, 951, 287, -39, -239, -53, 
-19, -117, -97, 68, 39, -107, 156, 961, 287, -39, -239, -53, 
-29, -117, -87, 73, 29, -102, 156, 976, 292, -34, -244, -48, 
-29, -117, -87, 73, 29, -102, 156, 990, 292, -34, -248, -48, 
-39, -117, -78, 78, 19, -97, 165, 1010, 287, -43, -253, -39, 
-43, -117, -73, 80, 14, -95, 165, 1024, 292, -43, -253, -34, 
-48, -117, -68, 82, 9, -92, 165, 1034, 292, -43, -244, -34, 
-53, -117, -63, 85, 4, -90, 170, 1054, 302, -34, -239, -39, 
-63, -107, -43, 85, -9, -75, 175, 1078, 317, -29, -229, -24, 
-63, -102, -39, 82, -12, -70, 175, 1093, 322, -34, -234, -14, 
-73, -102, -29, 87, -21, -65, 175, 1102, 322, -39, -234, -9, 
-78, -112, -34, 95, -21, -73, 175, 1112, 322, -43, -234, -4, 
-87, -112, -24, 100, -31, -68, 161, 1132, 322, -24, -229, -19, 
-82, -112, -29, 97, -26, -70, 161, 1141, 326, -14, -219, -24, 
-78, -102, -24, 90, -26, -63, 161, 1156, 331, -9, -214, -29, 
-78, -102, -24, 90, -26, -63, 161, 1166, 341, 0, -209, -34, 
-73, -102, -29, 87, -21, -65, 170, 1190, 356, -9, -224, -43, 
-63, -97, -34, 80, -14, -65, 170, 1200, 366, 0, -224, -39, 
-48, -87, -39, 68, -4, -63, 170, 1210, 380, 14, -219, -39, 
-39, -82, -43, 61, 2, -63, 180, 1224, 395, 19, -219, -39, 
-39, -78, -39, 58, 0, -58, 204, 1249, 409, 24, -204, -34, 
-39, -78, -39, 58, 0, -58, 209, 1268, 429, 34, -200, -29, 
-39, -78, -39, 58, 0, -58, 219, 1293, 448, 39, -195, -29, 
-34, -73, -39, 53, 2, -56, 229, 1317, 473, 43, -190, -24, 
-43, -73, -29, 58, -7, -51, 248, 1322, 497, 34, -200, -34, 
-39, -73, -34, 56, -2, -53, 248, 1342, 507, 34, -200, -34, 
-39, -68, -29, 53, -4, -48, 263, 1351, 517, 34, -200, -34, 
-48, -68, -19, 58, -14, -43, 263, 1366, 536, 34, -200, -34, 
-39, -82, -43, 61, 2, -63, 283, 1376, 551, 29, -190, -24, 
-39, -82, -43, 61, 2, -63, 283, 1390, 566, 24, -190, -24, 
-34, -82, -48, 58, 7, -65, 297, 1405, 585, 19, -190, -24, 
-34, -82, -48, 58, 7, -65, 302, 1420, 600, 14, -190, -24, 
-39, -73, -34, 56, -2, -53, 317, 1429, 619, 14, -200, -19, 
-39, -73, -34, 56, -2, -53, 331, 1444, 639, 9, -200, -19, 
-43, -73, -29, 58, -7, -51, 341, 1464, 658, 4, -200, -19, 
-43, -78, -34, 61, -4, -56, 346, 1468, 673, 0, -204, -19, 
-53, -78, -24, 65, -14, -51, 366, 1468, 692, 9, -195, -19, 
-53, -78, -24, 65, -14, -51, 375, 1478, 707, 9, -195, -19, 
-53, -82, -29, 68, -12, -56, 380, 1488, 727, 9, -195, -19, 
-53, -82, -29, 68, -12, -56, 390, 1493, 746, 4, -195, -19, 
-53, -92, -39, 73, -7, -65, 400, 1488, 751, 4, -204, -29, 
-53, -92, -39, 73, -7, -65, 405, 1493, 771, 19, -200, -29, 
-53, -92, -39, 73, -7, -65, 414, 1498, 780, 19, -195, -29, 
-58, -92, -34, 75, -12, -63, 419, 1498, 785, 14, -195, -29, 
-58, -82, -24, 70, -17, -53, 424, 1493, 805, 4, -190, -24, 
-58, -87, -29, 73, -14, -58, 434, 1483, 814, 4, -190, -24, 
-58, -87, -29, 73, -14, -58, 444, 1478, 819, 4, -190, -24, 
-53, -87, -34, 70, -9, -61, 453, 1468, 829, 4, -190, -24, 
-43, -92, -48, 68, 2, -70, 468, 1454, 834, 14, -195, -34, 
-48, -92, -43, 70, -2, -68, 473, 1444, 834, 24, -204, -43, 
-48, -92, -43, 70, -2, -68, 473, 1429, 829, 34, -214, -53, 
-43, -92, -48, 68, 2, -70, 483, 1420, 829, 43, -229, -58, 
-53, -82, -29, 68, -12, -56, 497, 1405, 839, 43, -224, -63, 
-58, -82, -24, 70, -17, -53, 497, 1390, 839, 43, -219, -73, 
-58, -82, -24, 70, -17, -53, 497, 1376, 829, 39, -214, -78, 
-58, -82, -24, 70, -17, -53, 497, 1361, 819, 39, -204, -82, 
-48, -73, -24, 61, -12, -48, 488, 1332, 805, 34, -214, -73, 
-53, -73, -19, 63, -17, -46, 488, 1302, 800, 39, -214, -68, 
-53, -73, -19, 63, -17, -46, 488, 1263, 800, 53, -209, -68, 
-48, -68, -19, 58, -14, -43, 483, 1215, 780, 58, -209, -68, 
-43, -68, -24, 56, -9, -46, 463, 1156, 756, 39, -209, -58, 
-43, -68, -24, 56, -9, -46, 458, 1107, 732, 24, -214, -53, 
-43, -68, -24, 56, -9, -46, 448, 1063, 707, 9, -219, -48, 
-39, -68, -29, 53, -4, -48, 439, 1010, 683, -9, -224, -48, 
-48, -73, -24, 61, -12, -48, 414, 961, 653, -4, -214, -43, 
-43, -68, -24, 56, -9, -46, 400, 907, 619, 0, -204, -39, 
-39, -63, -24, 51, -7, -43, 380, 854, 590, 4, -204, -34, 
-39, -58, -19, 48, -9, -39, 356, 805, 551, 4, -209, -29, 
-34, -53, -19, 43, -7, -36, 326, 751, 527, -4, -209, -34, 
-29, -43, -14, 36, -7, -29, 312, 702, 497, -4, -209, -34, 
-24, -39, -14, 31, -4, -26, 297, 658, 463, -4, -204, -39, 
-9, -24, -14, 17, 2, -19, 278, 614, 434, -4, -200, -43, 
0, -29, -29, 14, 14, -29, 258, 575, 395, -19, -200, -19, 
0, -24, -24, 12, 12, -24, 239, 541, 366, -24, -204, -9, 
0, -19, -19, 9, 9, -19, 224, 502, 336, -29, -209, 4, 
0, -14, -14, 7, 7, -14, 209, 468, 312, -34, -209, 14, 
0, -9, -9, 4, 4, -9, 190, 434, 302, -14, -200, 24, 
0, -9, -9, 4, 4, -9, 180, 405, 287, -4, -190, 24, 
0, -9, -9, 4, 4, -9, 170, 375, 268, 4, -185, 24, 
-4, -9, -4, 7, 0, -7, 165, 356, 253, 14, -180, 29, 
14, -9, -24, -2, 19, -17, 146, 322, 224, -4, -175, 19, 
9, -9, -19, 0, 14, -14, 131, 307, 200, -4, -185, 19, 
-9, 0, 9, 4, -9, 4, 126, 283, 190, -4, -185, 19, 
0, 9, 9, -4, -4, 9, 117, 273, 185, -19, -175, 39, 
0, 0, 0, 0, 0, 0, 107, 263, 180, -14, -165, 48, 
0, 0, 0, 0, 0, 0, 107, 253, 175, -9, -165, 48, 
0, 0, 0, 0, 0, 0, 107, 244, 170, -4, -165, 48, 
0, 0, 0, 0, 0, 0, 107, 234, 165, 0, -165, 48, 
-9, -9, 0, 9, -4, -4, 97, 224, 146, 9, -165, 43, 
-9, -9, 0, 9, -4, -4, 97, 214, 141, 9, -170, 39, 
4, -4, -9, 0, 7, -7, 92, 204, 136, 9, -175, 34, 
-4, -4, 0, 4, -2, -2, 92, 195, 131, 9, -175, 29, 
-4, 4, 9, 0, -7, 7, 87, 190, 122, 4, -185, 24, 
-14, 4, 19, 4, -17, 12, 92, 185, 126, 4, -185, 19, 
-14, 4, 19, 4, -17, 12, 92, 180, 126, 0, -185, 14, 
-14, 4, 19, 4, -17, 12, 92, 170, 126, 0, -185, 9, 
-4, -9, -4, 7, 0, -7, 82, 161, 122, -4, -175, 9, 
-4, -9, -4, 7, 0, -7, 82, 161, 117, 4, -170, 9, 
-4, 0, 4, 2, -4, 2, 82, 161, 117, 9, -170, 9, 
-14, -4, 9, 9, -12, 2, 82, 156, 112, 9, -165, 9, 
-19, -24, -4, 21, -7, -14, 73, 156, 117, 0, -175, 4, 
-19, -24, -4, 21, -7, -14, 73, 156, 117, 0, -180, 0, 
-14, -24, -9, 19, -2, -17, 68, 151, 112, 0, -185, -4, 
-4, -19, -14, 12, 4, -17, 63, 151, 107, -4, -185, -9, 
-9, -9, 0, 9, -4, -4, 68, 141, 107, -24, -185, -9, 
-9, -9, 0, 9, -4, -4, 68, 141, 107, -29, -190, -9, 
-9, -9, 0, 9, -4, -4, 68, 141, 107, -34, -195, -9, 
-4, -4, 0, 4, -2, -2, 68, 141, 107, -39, -200, -4, 
0, -9, -9, 4, 4, -9, 73, 136, 102, -39, -200, -9, 
-4, -4, 0, 4, -2, -2, 73, 136, 102, -39, -200, -9, 
-4, -4, 0, 4, -2, -2, 73, 136, 102, -34, -190, -9, 
-9, -4, 4, 7, -7, 0, 78, 136, 102, -34, -190, -9, 
-4, -14, -9, 9, 2, -12, 63, 126, 97, -34, -180, -9, 
-4, -9, -4, 7, 0, -7, 63, 131, 107, -34, -175, -9, 
-4, 0, 4, 2, -4, 2, 68, 131, 107, -34, -175, -14, 
-4, 0, 4, 2, -4, 2, 68, 126, 102, -29, -175, -19, 
-4, -4, 0, 4, -2, -2, 68, 122, 107, -19, -165, -9, 
-4, -9, -4, 7, 0, -7, 68, 122, 102, -9, -161, -14, 
-4, -9, -4, 7, 0, -7, 63, 122, 102, 0, -151, -14, 
-4, -14, -9, 9, 2, -12, 63, 122, 102, 14, -136, -14, 
4, -29, -34, 12, 19, -31, 53, 122, 102, 0, -156, -19, 
4, -29, -34, 12, 19, -31, 53, 126, 102, -4, -165, -24, 
9, -29, -39, 9, 24, -34, 53, 126, 102, -9, -175, -24, 
9, -29, -39, 9, 24, -34, 58, 126, 107, -14, -185, -24, 
0, -29, -29, 14, 14, -29, 68, 126, 107, -14, -200, -34, 
0, -24, -24, 12, 12, -24, 63, 126, 107, -14, -209, -43, 
0, -24, -24, 12, 12, -24, 63, 126, 107, -9, -214, -43, 
-4, -24, -19, 14, 7, -21, 63, 126, 107, -9, -219, -43, 
4, -24, -29, 9, 17, -26, 53, 126, 112, -29, -219, -34, 
9, -24, -34, 7, 21, -29, 53, 126, 112, -43, -219, -34, 
9, -24, -34, 7, 21, -29, 53, 126, 112, -53, -214, -34, 
9, -24, -34, 7, 21, -29, 63, 131, 112, -63, -214, -34, 
19, -29, -48, 4, 34, -39, 53, 122, 112, -53, -200, -24, 
19, -34, -53, 7, 36, -43, 53, 122, 112, -53, -190, -24, 
19, -39, -58, 9, 39, -48, 53, 122, 107, -53, -180, -14, 
19, -43, -63, 12, 41, -53, 53, 122, 107, -53, -170, -4, 
9, -53, -63, 21, 36, -58, 63, 122, 102, -63, -185, -4, 
9, -53, -63, 21, 36, -58, 63, 122, 102, -63, -195, -9, 
9, -53, -63, 21, 36, -58, 63, 122, 102, -63, -200, -14, 
9, -53, -63, 21, 36, -58, 68, 122, 102, -53, -204, -19, 
0, -63, -63, 31, 31, -63, 58, 112, 97, -53, -204, -19, 
0, -58, -58, 29, 29, -58, 58, 112, 97, -58, -204, -19, 
-4, -58, -53, 31, 24, -56, 58, 117, 97, -58, -204, -19, 
-4, -58, -53, 31, 24, -56, 58, 117, 97, -58, -204, -19, 
-14, -68, -53, 41, 19, -61, 68, 107, 87, -63, -209, -24, 
-14, -68, -53, 41, 19, -61, 63, 107, 87, -63, -209, -24, 
-9, -68, -58, 39, 24, -63, 63, 107, 87, -63, -209, -19, 
-9, -68, -58, 39, 24, -63, 68, 107, 87, -63, -204, -19, 
-9, -78, -68, 43, 29, -73, 68, 117, 87, -53, -195, -29, 
-9, -82, -73, 46, 31, -78, 73, 117, 92, -53, -195, -29, 
-9, -82, -73, 46, 31, -78, 73, 117, 92, -53, -195, -29, 
-9, -82, -73, 46, 31, -78, 73, 117, 92, -53, -195, -29, 
-14, -82, -68, 48, 26, -75, 73, 107, 102, -43, -204, -34, 
-19, -82, -63, 51, 21, -73, 73, 107, 97, -43, -204, -39, 
-24, -82, -58, 53, 17, -70, 73, 107, 97, -43, -204, -43, 
-34, -82, -48, 58, 7, -65, 73, 112, 97, -43, -204, -48, 
-43, -92, -48, 68, 2, -70, 73, 112, 97, -53, -204, -58, 
-34, -92, -58, 63, 12, -75, 73, 102, 92, -53, -204, -58, 
-24, -82, -58, 53, 17, -70, 78, 122, 107, -58, -214, -68, 
-29, -73, -43, 51, 7, -58, 102, 156, 126, -53, -214, -68, 
-34, -87, -53, 61, 9, -70, 107, 200, 151, -53, -214, -58, 
-34, -78, -43, 56, 4, -61, 122, 268, 185, -48, -209, -48, 
4, -68, -73, 31, 39, -70, 151, 395, 263, -48, -214, -48, 
24, -58, -82, 17, 53, -70, 204, 590, 380, -24, -219, -48, 
39, -43, -82, 2, 61, -63, 263, 761, 507, -4, -204, -39, 
63, -19, -82, -21, 73, -51, 287, 829, 566, -14, -185, -29, 
92, -4, -97, -43, 95, -51, 307, 790, 561, -19, -175, -24, 
92, -4, -97, -43, 95, -51, 356, 707, 527, -29, -175, -14, 
82, -19, -102, -31, 92, -61, 400, 541, 463, -34, -190, -19, 
48, -53, -102, 2, 75, -78, 409, 200, 292, -34, -204, -29, 
0, -82, -82, 41, 41, -82, 390, -248, 73, -34, -214, -29, 
-48, -117, -68, 82, 9, -92, 351, -673, -156, -43, -234, -43, 
-78, -151, -73, 114, -2, -112, 244, -1093, -424, -92, -248, -78, 
-87, -170, -82, 129, -2, -126, 131, -1488, -712, -126, -273, -97, 
-131, -180, -48, 156, -41, -114, 78, -1820, -912, -165, -287, -107, 
-175, -185, -9, 180, -82, -97, 82, -2108, -1093, -165, -273, -97, 
